n,aa,n_res,n_samples,xi_exp,xi_exp_R2,xi_exp_saturated,xi_exp_A,xi_exp_c,xi_log,xi_log_R2,xi_log_p,pl_alpha,pl_R2,spearman_r,spearman_p
5,E,5,250,393.81457750076277,0.9696606746816346,False,0.6748174752343655,0.32544265031837727,7.327618668495074,0.9462302029777513,0.027256352897768173,0.002392620512026045,0.8735456897693301,-1.0,0.0
5,G,5,250,566.1926696798657,0.9233899979054554,False,1.1424238307122516,-0.14178998985800753,6.442780473112032,0.8881315735320275,0.0575926711171928,0.0020271347149372356,0.7974609954095699,-1.0,0.0
5,K,5,250,114.86832383684668,0.9570389734067204,False,2.0042103660955903,-0.9999999999999999,1.7206000074279388,0.833117201578554,0.08724745873892303,0.01758445003596125,0.8513667881703757,-1.0,0.0
5,L,5,250,160.01611352693448,0.8781462303389339,False,2.003301277754698,-0.9991704947538039,2.021065240695749,0.7723025909923796,0.12119251767387662,0.012232995195681435,0.7329514431524913,-1.0,0.0
5,S,5,250,465.91275191412154,0.8688224788186354,False,1.1936478687958223,-0.19272633944555703,5.381122723436473,0.8253737089322025,0.09149919706573591,0.0025184218193362615,0.7218206531895385,-1.0,0.0
6,E,6,250,91.63635491425485,0.815752364938465,False,2.0115736192734888,-0.9999999999999999,1.994695772589648,0.6548762858535959,0.09709926392362864,0.023855937560027927,0.6358466995399711,-0.9999999999999999,1.4042654220543672e-24
6,G,6,250,648.7173563345743,0.8589139127506136,False,1.0175374597323952,-0.016602443398499603,8.508784135387836,0.8130995955069542,0.03643519414232505,0.0020339963300620703,0.68935881618436,-0.9999999999999999,1.4042654220543672e-24
6,K,6,250,66.84750271970911,0.8218582833409949,False,2.0150454014505526,-0.9999999999999616,1.788061116857028,0.6473311194607647,0.10061546754280043,0.03271426196792502,0.6433658981395132,-0.9999999999999999,1.4042654220543672e-24
6,L,6,250,761.9010732486255,0.8209276659710166,False,2.0013944465183533,-0.9999999559091836,5.867034113337786,0.7555222621479036,0.05565410911093123,0.002898098208345611,0.6413928394667092,-0.9999999999999999,1.4042654220543672e-24
6,S,6,250,434.5611517246004,0.8148735639838022,False,2.002600310296884,-0.9999998571916957,4.115596249237505,0.7240084573780484,0.06755341027680611,0.0050811985657146135,0.6348934597278965,-0.9999999999999999,1.4042654220543672e-24
7,E,7,250,496.3261195781177,0.960324309338639,False,0.11770510944848624,0.882457285685316,45.1400038823063,0.9539540246789685,0.0008076165813868864,0.0010000005214495173,0.8209928740780418,-1.0,0.0
7,G,7,250,275.87869716165113,0.7775614264379255,False,2.005173791633495,-0.9999999018365177,3.7676886004201924,0.6386109736527386,0.056469956090717324,0.00881720441997461,0.5794866323430334,-1.0,0.0
7,K,7,250,44.158927884721855,0.8000976107349431,False,2.0277063802633863,-0.9999999999997194,1.9707274434391513,0.5789522389955272,0.07892556091355678,0.05481603311874978,0.6040476516995672,-1.0,0.0
7,L,7,250,62.438537045461175,0.9737239318037785,False,0.05969451110672804,0.9404452836412456,13.199657676831372,0.9677613154667333,0.00039401575707591487,0.0014039942935003312,0.9148741648196983,-1.0,0.0
7,S,7,250,222.40279383338145,0.7731325633923296,False,2.006712194443045,-0.99999993732287,3.4271066643048234,0.6238046304513233,0.06162496156492958,0.01091776105342812,0.5748941387481212,-1.0,0.0
8,E,8,250,277.6624490029823,0.8824869389013458,False,2.004326550165264,-0.9999997235350949,4.247382831413351,0.7007641352931784,0.018800015893957654,0.01009950532673548,0.7015505024351423,-1.0,0.0
8,G,8,250,569.4338154279961,0.7789187115249842,False,2.003006696032086,-0.9999999984186649,6.108875533578719,0.6561255703139205,0.027198928507242686,0.004791661260382114,0.5710744867514217,-1.0,0.0
8,K,8,250,1.7941775525970058,0.8760564366836107,False,0.06682548770279104,0.9504431826383599,4.021218584993868,0.46199762510590825,0.09298984125947869,0.42494655441817647,0.8498129112923227,-0.7857142857142859,0.03623846267982713
8,L,8,250,5.222481865069649,0.9870515823746464,False,0.006612486383131867,0.9936311286694467,18.988888898245197,0.9723324838068013,4.366610874682182e-05,0.003435551518512741,0.9714819342201333,-1.0,0.0
8,S,8,250,1330.4565664993763,0.830975294496466,False,0.8958477421374573,0.10473588737385366,18.532127689397036,0.7901769792202402,0.007433743006793761,0.001139150652430309,0.6354838922511283,-1.0,0.0
9,E,9,250,2317.621796350205,0.8637394570021796,False,2.0007995232613784,-0.9999997838419804,15.81708168926832,0.8076213717069243,0.0024068876611719548,0.0013169860275578824,0.6638908762896536,-1.0,0.0
