n,AA,Rg_mean,Rg_std,Ree_mean,Ree_std,CO_mean,CO_std
4,E,1.3540498,6.5375757,3.0667868,14.323473,0.41298333333333337,0.018792795605408658
4,G,1.3798509,7.737848,3.2890227,18.36021,0.4129166666666667,0.020450651986346713
4,K,1.746867,8.413214,3.99553,18.80723,0.4123333333333334,0.02376037784959565
4,L,0.41927028,1.1104861,0.9787915,2.2442424,0.416,0.010519822558706336
4,S,0.7866914,5.369088,1.8407972,12.400819,0.416,0.007423685817106699
5,E,0.7906334,3.8743045,1.9178554,9.635185,0.3983333333333333,0.012583057392117916
5,G,0.76400083,2.6713269,1.8268191,6.271194,0.3983333333333333,0.013924399049470284
5,K,1.5485054,7.648955,3.6288192,17.020956,0.39666666666666667,0.019550504398153576
5,L,0.92461574,5.0610623,2.3025496,12.893458,0.3983333333333334,0.013924399049470286
5,S,0.55271536,2.0639236,1.3297454,5.189189,0.3994666666666667,0.005938948653685355
6,E,1.0652026,4.0828424,2.7162266,10.886576,0.38631746031746034,0.014450164574696986
6,G,0.6622114,1.7684671,1.6055137,4.7190404,0.38765873015873026,0.010342536681287588
6,K,1.4494792,6.741284,3.772717,18.094648,0.38609523809523816,0.017147442067647903
6,L,0.56479,1.6272839,1.4115592,4.4074783,0.38844444444444454,0.004949123878071134
6,S,0.6336445,2.0899074,1.5384253,5.656778,0.3880000000000001,0.006970838729492502
7,E,0.5714084,1.3041587,1.4515004,3.7426755,0.38076190476190475,0.0030056635882018054
7,G,0.79344493,3.8682318,2.0069115,11.090545,0.38057142857142856,0.004242106181203819
7,K,1.4546326,6.747489,3.864886,18.544096,0.37913419913419916,0.011651054939430437
7,L,0.54179734,0.9413373,1.3329458,2.139243,0.3805194805194806,0.006831053609549566
7,S,0.96877956,4.4448977,2.528632,12.71523,0.37994805194805203,0.0085470991456839
8,E,1.2119348,5.233354,3.0138516,12.753649,0.37180448717948716,0.021898847243669646
8,G,0.83116615,3.303793,2.1137657,10.002493,0.37429166666666663,0.006967309579585064
8,K,1.0671059,5.159171,2.651056,11.19491,0.3730561111111111,0.014059038314669085
8,L,0.662953,2.3814206,1.5890332,5.1303167,0.37427777777777776,0.011396474438598524
8,S,0.5373314,0.45220464,1.2703186,1.4496562,0.3746666666666667,0.0037118429085533497
9,E,0.8211056,1.6520267,2.1790342,5.1906486,0.3687996632996633,0.012317637895010034
9,G,0.6972628,1.0731688,1.6595246,3.2776413,0.3697037037037037,0.008500463958934645
9,K,1.1958386,4.6056814,3.4299924,14.670992,0.3697777777777777,0.004647225819661672
9,L,0.5401001,0.09472906,1.3736738,0.38188723,0.37037037037037035,5.551115123125783e-17
9,S,0.55280906,0.17614399,1.3101755,0.70625156,0.3702222222222222,0.002337738346379189
10,E,0.9659497,2.8397956,2.6564093,9.338169,0.36504233249229034,0.011875006984127842
10,G,0.88133484,2.3562157,2.2056737,6.072151,0.3659471885678781,0.006025166609924362
10,K,0.92148054,1.6569737,2.51891,5.4766154,0.3650753246753246,0.014523606452732239
10,L,0.5564448,0.10033505,1.5496618,0.37160006,0.36666666666666664,0.0
10,S,0.58206695,0.10350162,1.3731085,0.52316165,0.36666666666666664,0.0
11,E,1.1798749,3.920582,3.462722,13.722629,0.36249696969696976,0.010977321977428888
11,G,1.0003715,2.1658902,2.7041237,7.5827904,0.3621465175750891,0.012207547400741252
11,K,1.2117023,2.2240312,3.262604,6.0501347,0.3597173288047593,0.021701727576513067
11,L,0.57733935,0.10091292,1.6718359,0.34550375,0.36363636363636365,0.0
11,S,0.6195051,0.110159,1.4680408,0.57321864,0.36363636363636365,0.0
12,E,0.8973489,1.2605036,2.4418268,4.3362837,0.35957520481310795,0.01245700303563758
12,G,0.91789466,1.56587,2.4662774,5.740328,0.3606374269005847,0.003736238042492373
12,K,1.6027966,3.5280418,4.812866,12.511367,0.3571643904862085,0.01967760480307967
12,L,0.5862323,0.060743872,1.7362874,0.22122192,0.3611111111111111,0.0
12,S,0.72645855,0.7292406,1.8310815,2.7034812,0.36088888888888887,0.0024745619390355664
13,E,1.0775651,1.7254566,3.0815237,6.1049294,0.35783386061646927,0.006778923263802797
13,G,0.9384349,1.6791763,2.4686778,6.4790325,0.35876923076923073,0.0022842110206482157
13,K,1.8461831,4.0781374,5.134307,11.592911,0.3524061347395275,0.027625102893192702
13,L,0.6182422,0.05805639,1.8723172,0.20392099,0.3589743589743589,5.551115123125783e-17
13,S,0.85025245,1.4620677,2.2977211,5.6034865,0.35866666666666663,0.0027919297618084534
14,E,0.9790066,1.4812651,2.660967,5.6188526,0.35579991426428037,0.0122753646487538
14,G,0.949785,0.92460316,2.373442,3.5128446,0.3562979242979243,0.009769012158579683
14,K,1.9579933,3.9708772,5.6876273,13.097834,0.3492005528551352,0.030689153262821286
14,L,0.64615375,0.030693017,2.008174,0.10886016,0.3571428571428571,5.551115123125783e-17
14,S,0.73108387,0.13982478,1.7992295,0.6654799,0.3571428571428571,5.551115123125783e-17
15,E,0.8828719,0.27561837,2.3184354,1.0878779,0.355137037037037,0.005381828134943928
15,G,0.9961068,1.1603205,2.4251404,3.207084,0.35418831225419456,0.011569779798030047
15,K,2.9427817,7.1611023,8.740941,23.388227,0.3430774459530373,0.03968871028447647
15,L,0.6841384,0.020934843,2.1247191,0.11712939,0.35555555555555557,5.551115123125783e-17
15,S,0.78486574,0.1585676,1.9514619,0.7741753,0.35555555555555557,5.551115123125783e-17
16,E,1.3007772,2.190532,3.797148,8.422937,0.35170351895092905,0.01446097269140957
16,G,1.0061566,0.6823105,2.586626,2.9648693,0.3537666666666667,0.004113797920818832
16,K,1.9123678,3.3828647,5.1029706,9.750634,0.34498586212679777,0.03507971891679642
16,L,0.7210799,0.03512219,2.2399101,0.1803816,0.35416666666666663,5.551115123125783e-17
16,S,0.7968595,0.16826476,1.9068245,0.78877324,0.35416666666666663,5.551115123125783e-17
17,E,1.1699072,1.4649764,3.3548286,6.375809,0.35226625386996896,0.004382902348473969
17,G,0.99404156,0.3186569,2.408064,1.2887456,0.35277469478357376,0.002627036709998806
17,K,2.0449896,3.9253235,5.6200447,13.394755,0.3440291267873723,0.031986252679267385
17,L,0.75732756,0.013848695,2.4233327,0.11313598,0.3529411764705882,5.551115123125783e-17
17,S,0.84198254,0.18289198,2.1203647,0.8316124,0.3529411764705882,5.551115123125783e-17
18,E,1.3672976,3.1640463,4.0846143,13.36565,0.35124145100938814,0.004965711756529304
18,G,1.1186647,0.43029365,2.8099957,1.5436069,0.3505890772039462,0.011275199978044288
18,K,2.269101,4.045542,6.0911436,11.380557,0.3413665696696635,0.0365326117015111
18,L,0.7991016,0.036907442,2.5620928,0.17108926,0.3518518518518519,5.551115123125783e-17
18,S,0.90417343,0.52259505,2.328418,2.4216688,0.35177777777777786,0.0011688691731895943
19,E,1.2615967,1.537108,3.379966,3.7905617,0.3489241012823655,0.014781622763596429
19,G,1.1700982,0.74835604,3.0951161,3.5561879,0.35073684210526324,0.0015628812246540457
19,K,2.195934,3.380785,5.8575225,11.240594,0.33608635434792755,0.04246950282494946
19,L,0.83647573,0.012702281,2.6825995,0.10312996,0.35087719298245623,5.551115123125783e-17
19,S,0.9393006,0.22391978,2.3816726,1.0429243,0.35087719298245623,5.551115123125783e-17
20,E,1.0706519,0.37582952,2.8014185,1.6897677,0.3497138095238095,0.00282518030648883
20,G,1.215188,0.8529332,3.1975503,4.017459,0.3495989649748051,0.003050870361978792
20,K,2.543134,3.5601442,6.9526663,10.078159,0.333931896578912,0.04405664196739133
20,L,0.8748446,0.014687512,2.820044,0.12751368,0.35,0.0
20,S,0.97556716,0.22810759,2.440334,1.0484273,0.35,0.0
21,E,1.2484688,1.0173757,3.480324,4.3711796,0.3477858598499826,0.01118247594522346
21,G,1.3680046,1.2134783,3.8599994,5.3544445,0.34780156636497284,0.00980394873832653
21,K,2.8701954,4.171663,7.3877296,11.084852,0.3252190710216828,0.05270416256335733
21,L,0.91460484,0.011832039,2.982975,0.079371944,0.3492063492063492,0.0
21,S,1.0198281,0.30669147,2.643892,1.4359016,0.3491428571428571,0.001001887862733936
22,E,1.3464448,0.872774,3.4588432,2.2357576,0.3450711718055336,0.019776155192737826
22,G,1.2924579,0.86971486,3.4097037,3.9671335,0.3470857759802926,0.013770707472185626
22,K,3.192105,3.8984818,8.621084,12.388919,0.3212794621791393,0.05520293715243628
22,L,0.95449156,0.0126314275,3.10644,0.09320679,0.34848484848484856,5.551115123125783e-17
22,S,1.049602,0.2443879,2.6766586,1.0837638,0.34848484848484856,5.551115123125783e-17
23,E,1.2747287,0.7901234,3.2491283,1.7533714,0.3473434321914835,0.004668942761335149
23,G,1.345527,0.7233886,3.5741084,3.3050985,0.34615306078836283,0.013978656119095954
23,K,2.8113422,2.8633173,7.496619,8.983679,0.3235238205799884,0.05245970846498937
23,L,0.9939156,0.015471566,3.2336493,0.12560314,0.3478260869565217,5.551115123125783e-17
23,S,1.0521625,0.24709645,2.6916583,1.1364912,0.3478260869565217,5.551115123125783e-17
24,E,1.3835258,1.0129902,3.6528368,2.8102212,0.3435325785262652,0.020615700369847407
24,G,1.385247,0.6195457,3.6646104,2.4410973,0.34524161110555357,0.015085335349117657
24,K,2.9181573,3.5601935,8.155386,12.33543,0.3231738408234718,0.05159789856117254
24,L,1.0329773,0.016485358,3.3961713,0.13834643,0.34722222222222227,0.0
24,S,1.10113,0.26288116,2.7647717,1.2082572,0.34722222222222227,0.0
25,E,1.4321771,1.2117578,4.0062737,5.679116,0.34423049863876404,0.017166248660824435
25,G,1.4115571,0.6717437,3.744306,3.4780996,0.34646716723549487,0.0015759392678714199
25,K,3.4838145,3.839354,9.046993,10.156568,0.3132836656032781,0.059588226273868346
25,L,1.0734293,0.012704144,3.5435772,0.094027825,0.3466666666666666,0.0
25,S,1.1257772,0.2786027,2.8467395,1.2620304,0.3466666666666666,0.0
26,E,1.3483155,0.9027244,3.7688804,4.6545215,0.34529038444591115,0.008995940388058354
26,G,1.4052324,0.4499391,3.5542872,1.9037399,0.34566037028105995,0.0056527605108842765
26,K,3.4515746,3.656101,8.591497,9.095041,0.3085032278456406,0.06274344202173515
26,L,1.1153381,0.012845641,3.672894,0.08776545,0.3461538461538462,5.551115123125783e-17
26,S,1.1828022,0.2758648,3.0240874,1.2268525,0.3461538461538462,5.551115123125783e-17
27,E,1.3728652,0.5218127,3.6887221,1.5953727,0.3437152132703435,0.015628524622454874
27,G,1.5384883,0.686581,4.023988,2.684798,0.344874235820944,0.005324658781492622
27,K,2.954716,2.8177645,7.927362,10.165584,0.3176894293475672,0.05514610211126213
27,L,1.1542194,0.013561187,3.813771,0.09236992,0.3456790123456791,5.551115123125783e-17
27,S,1.2161018,0.33581704,3.1071417,1.4433876,0.3456585781183483,0.00032244666846609964
28,E,1.5316379,1.0402071,4.1482773,3.2191296,0.34183406593026644,0.020396355741983844
28,G,1.7932446,1.6763269,5.116308,8.377916,0.3414703133155552,0.019920899319183373
