,n,log_n,sqrt_n,hydrophobicity,hydrophobicity_x_n,hydrophobicity_x_log_n,charge,charge_x_n,charge_x_log_n,mw,mw_x_n,mw_x_log_n,volume,volume_x_n,volume_x_log_n,flexibility,flexibility_x_n,flexibility_x_log_n,abs_charge,cat_PolyX_original,is_homopolymer,is_linker,is_heteropolymer,is_dms,complexity,cat_L1_hydrophobic,cat_linker,cat_HET_BLOCK,cat_HET_ALT,cat_HET_COMP,cat_HET_KAPPA,cat_HET_IDP,cat_DMS_protein,complexity_x_n,hydrophobicity_x_charge,hydrophobicity_abs
PR,-3.241772390702993,1.168032788260757,1.3617285257408767,0.23663114887772035,-0.01530993722137735,-0.3139399207245035,0.03561026325676912,0.169958723951599,-0.03396530650205882,0.2940202192767062,0.47271481254396847,-1.073735284715184,-0.07425759272062403,1.111813322012555,-0.2680403414599297,0.3396896008179246,1.6119716878347186,-1.4293817979766108,0.22849649534410826,0.021345262521634458,0.05573918043868616,-0.04734158815951086,-0.08262799976502308,0.2745789143692877,0.00773020672491078,0.04142346654194537,-0.04734158816043154,-0.022976662618745616,-0.016588067085350364,-0.08628605390801948,-0.13282997884918563,0.00652988388969664,0.2745789143683711,0.38690657939450773,-0.04711529539824952,-0.06795930057106901
A_C,-1.1670842991075308,-1.667723064905023,3.6384896046410495,0.662435700516623,-0.06495334060440074,0.7237384419214655,-0.03393835867600455,-0.0539935379840847,0.33590170808088654,1.269924909878573,0.3625883320123188,2.164160363132078,-0.4619312848398842,-0.06335229599888353,-3.4588516899545225,0.5269916494199062,-0.9627969408524968,0.3153326385583739,0.17363231893944941,-0.02577232144243148,-0.3080311594084003,0.16864301684181007,0.22950844412494062,-0.0920223542181721,0.20062031308570608,-0.32768532178751114,0.16864301684211452,0.1294256898204563,0.10027512244314787,0.05699551792042529,0.1019374501388585,0.08422346314364115,-0.09202235421828603,-0.25798970571915664,0.0251178087751013,0.84797411199216
eff_rank_95,-1.0485015895271377,0.3402909820329233,0.4518338521553863,-0.12860545700563977,-0.3435922750676613,0.4410059303632326,0.13961018511651427,0.30797928730687785,-0.4911646912993082,0.1327089122142493,-0.3684672477039775,-0.01591303876521233,0.015205727506564641,1.0410719564391633,-0.6705573574302242,0.04234800315454548,0.43920831146442485,-0.316458333254514,0.06307565792578465,-2.0999208716466934e-05,0.00024345005696149898,-0.017845645814376747,-0.049469500071204535,0.3009019619447021,0.0403440692877141,0.00030330401112695315,-0.017845645814323283,-0.008918016342534635,-0.008453316153230235,-0.014370501930899053,-0.042563689655408334,-0.029909077739790218,0.3009019619406052,0.08833081128419186,-0.1426201874676483,-0.0009086440164497715
eff_rank_99,-2.411221950354775,0.7388356235187007,0.7800057588775136,0.4041209879831079,0.15981229067694125,-0.5007859533329178,-0.08432419597181126,-0.11078297619638293,0.416193522098304,0.26159541374081774,0.40391128719073394,-0.5667200248641521,-0.24425969322543628,0.722796991565993,-0.17797942539857153,0.16883574673580506,1.2946423371114122,-0.9385585811630631,0.18575859647066462,0.019417646780962455,0.026386903992013416,-0.031985052379464925,-0.08498038901063404,0.386103068800002,0.03751869078561496,0.009632420353307206,-0.03198505237987933,-0.01701109762995946,-0.013299198024421864,-0.07990390052303692,-0.11218463095031361,-0.012979195956542922,0.3861030688059011,0.3443597312832328,0.07482624204553733,-0.0015039657984090488
spectral_decay,-5.860676043018044,-1.5184651791423083,4.815732712890883,-2.123300446860235,0.9318584779932476,-0.7949595701893912,-0.3351046912734819,-0.1380343507013337,0.042397997166683965,-3.2396648881406933,2.8875468252839687,-2.8752761613361866,4.108485692843191,-1.0445258216915032,2.0845522441270785,0.35282009101242784,2.5924407549723205,-2.4700389414521378,-1.0513878631876004,0.08551159185557725,0.5642280147576043,-0.1631243355473657,-0.42256123804680124,-0.3234518496182695,-0.5600390695940716,0.5591915879809554,-0.16312433554894457,-0.12177399912487713,-0.15619091956161515,0.04876497026559068,-0.06325797394523079,-0.35827580851336255,-0.32345184961799134,0.43183326017746776,0.3878242048866915,-1.0142990249607362
entropy,-5.219836193930453,1.5762791416332396,2.900862363212505,0.6871700507835594,0.20909996330419514,-0.7667400013152715,-0.05206734713125998,0.027970215789053753,0.3955947930021336,0.890358364127591,1.1283268286157133,-1.60257080333302,-0.417012529215423,1.1901404937394164,-0.5845271381188833,0.722968204421985,2.3196635132340977,-2.2566619493912294,0.3387048140020863,0.02357470517063085,0.005504056217261413,-0.0274384966921576,-0.04894429952982582,0.3039912499354103,0.05756228742585695,-0.018908523646997858,-0.02743849669337966,-0.0004728182688753219,0.0025884382787402186,-0.1257544318705246,-0.18212931575555782,0.058484205781750453,0.30399124993168825,0.5314590659018755,0.03487916063734177,0.12830224695484066
total_variance,-3.993764670772366,0.18668101027941533,3.560134950527081,-0.10157892266187267,0.22114914755223253,-0.717574157923661,0.011989512784188335,-0.09831822481086458,0.20468342644848592,1.061464611984544,-0.5599379083603603,-1.2543957441329128,-1.1157656424638915,1.001423187300627,0.7814200702033799,0.6212687919231467,2.071521646404801,-2.030427786888758,-0.4336689827154716,-0.05275155923784357,-0.032139559184835215,-0.006407796409001881,0.0021761041890847655,0.17905107749345192,0.05236105903107256,0.019445045416640876,-0.0064077964095263775,0.011931293145319028,0.03718468637510738,-0.06776217849369368,-0.04490176050036832,0.016150214577148377,0.1790510774924187,0.24747918726264775,0.009947899193819283,0.6592317352599486
pseudo_volume,-14.51432973066215,4.186444982028613,12.358605616119055,-2.0955180636259207,-0.8530822026237975,3.3220942539351075,-0.30286349186299694,-0.3392140763907212,1.0750609676555727,0.43695074898121145,1.6874717951411948,-0.08599719613943085,3.8568632989124123,3.4562835447580547,-8.821435333252255,4.055519041937584,5.618229935091643,-9.277553204911102,0.16882420939377535,0.030060495945099137,-0.04853512490499228,0.07157022974500472,-0.00437302134010488,0.027576739437619815,-0.019982908262023334,-0.08818839220563962,0.071570229744323,0.09272422284020503,0.04521442765135889,-0.011561445322639946,-0.016452466420172215,-0.08195886197137126,0.027576739434653455,0.3047722309724952,0.29394217726478644,0.3584780065724528
mean_rmsf,-5.3233969170206805,-0.684639854387076,4.593872575333883,0.3312561180172717,0.36921473821774137,-0.695886914618753,-0.0635366722854732,-0.12903700630003057,0.26053420695059304,0.5749734130230415,1.3227766303933604,-1.6403528266082026,0.28003500780967094,0.5822337253738384,-0.8104613409050484,0.8278970498702611,2.0392083955894393,-2.4737345074041106,-0.01753439051653263,0.09037179522320146,0.15919798390388418,0.07562218142543269,-0.16518783714379456,-0.2870204504225171,-0.283617337970707,0.08680476797757262,0.07562218142415929,-0.007655213432564126,-0.003743882367460655,0.0895203981209664,0.06382204511442713,-0.2667435886819731,-0.28702045042222907,0.30694953308995365,0.06434180996951026,0.047665092671025186
max_rmsf,-5.390977654516649,-0.6850610435215405,4.68315069041216,0.3800708717679532,0.40627909472487583,-0.782012216929473,-0.06725747305600363,-0.13887440969666215,0.27984023936621494,0.567935051711548,1.3352631656389649,-1.7019205465071676,0.274775473004688,0.5604458520746911,-0.7355528611697195,0.8557415129449488,2.0851950397910293,-2.552972480537457,0.015568085154325527,0.09247740729037322,0.16526518710523663,0.07198806852784656,-0.1694018645331706,-0.28562221010673083,-0.28808788601658336,0.0915470694897656,0.07198806852637937,-0.008373475858455234,-0.00492720469332063,0.0879237572480866,0.06136025347259809,-0.26929638614964563,-0.2856222101064905,0.31627656434922685,0.0663845147256193,0.024766592737561304
rmsf_cv,-2.5198346199569617,1.493823125360564,0.985624499270982,0.6176143825480441,0.3600949081651217,-1.0077996074681144,-0.055646067889418845,-0.1798432203904174,0.30621558369438595,-0.3951695663915174,-0.36539206171661326,-1.0306755953726756,0.5887869574055383,1.5190004616080608,-0.1744449483440099,0.30750170613526356,1.5961464877932174,-1.717457803481407,0.6725271215529749,0.06990479134459836,0.17165528891122694,-0.12801430447701184,-0.1362713069885625,0.20934467109804863,-0.0788462227873753,0.12310124255645744,-0.12801430447787604,-0.02859842153845783,-0.05073238547920775,-0.0984682377655427,-0.15596718028321016,-0.021890643761348562,0.20934467109467847,0.3521530476449199,0.021578498703015835,-0.6926244093828071
