Y_observable,n,log_n,sqrt_n,hydrophobicity,hydrophobicity_x_n,charge,charge_x_n,mw,mw_x_n,volume,volume_x_n,flexibility,flexibility_x_n,abs_charge,cat_PolyX_original,is_homopolymer,is_linker,is_heteropolymer,is_dms,complexity,cat_L1_hydrophobic,cat_linker,cat_HET_BLOCK,cat_HET_ALT,cat_HET_COMP,cat_HET_KAPPA,cat_HET_IDP,cat_DMS_protein,complexity_x_n,hydrophobicity_x_charge,hydrophobicity_abs
PR,0.19981286051868533,0.04124826896599776,0.08721349867932782,0.0018715177042061778,0.019430482713553694,0.01592684522218522,0.24612413933221963,4.8067022833887266e-05,0.047035897623448925,0.00010025737597979112,0.031977903999766,0.00030139999466481985,0.016289801426448033,0.0009941057428598389,3.973579650156558e-05,1.6808314419560086e-05,0.00015043900860817384,2.3869371640859425e-05,0.05164461212530135,0.10676008967459785,4.07040256075614e-05,0.0001267232513722652,0.00029665587784816113,0.0,2.5514900412507084e-05,0.00350374282981026,0.00573140399593164,0.012296982752048867,0.109435592480712,0.0013260159079083456,0.00020606336510198888
A_C,0.08178944659134117,0.046101955958488774,0.04543673154302035,0.01017298048834211,0.10747747438730496,4.081002645203494e-05,0.1700674549836461,0.010659530518653903,0.09945219549655797,0.00435268672608638,0.178654059251856,0.004772114939385417,0.11634520508602629,0.0,0.006503657921154237,0.0,0.0002445492754278768,0.000325881973835087,0.0004569227918966726,0.004856678721941945,0.0031768903447039697,0.00032898294009784486,0.005912297024921201,0.005267567974104194,0.003164588542771763,0.00017794811498822522,0.0025414244601285026,0.0004925801778428934,0.07902542530428155,0.0008138568740947456,0.011388101560647648
eff_rank_95,0.24598700669331383,0.0011272881854473293,0.013490142490438593,0.0,0.005449023313769441,2.858723974652718e-15,0.0656920213457621,0.0,0.0348042936972573,0.0,0.11173861997792692,0.0,0.028187873483376143,0.0,0.0,0.0,0.0,2.3042327930447146e-15,0.08851906454242513,0.021432920667965094,0.0,0.0,0.0,0.0,5.646344350308658e-06,0.002041314447693993,8.357302813593042e-05,0.3744155023442018,0.007025709437930829,0.0,0.0
spectral_decay,0.12845972271910475,0.11234286686498958,0.03520320976351951,0.10311346341829641,0.1303117445300683,0.0,0.006490955280200165,0.016728564163492523,0.02511005678946307,0.051507841347588144,0.018550048265496805,0.01632103701746606,0.03402282659835232,0.0005184130184141923,0.00014391048768700715,0.0,0.0005362514235636187,0.0011624436735356845,0.013398116335420818,0.0732772676640654,0.00023146981433443012,0.0005225768704186934,0.00032383614297410823,0.0008617827815962785,0.01704494109456339,0.00014510800660662618,0.009159673408130172,0.0312023312312289,0.17274245033206273,0.0,0.0005670909573602461
entropy,0.09064096741669041,0.015872426450529623,0.08666214565846285,0.02683230288117769,0.02062170483419456,0.0033160603473849064,0.2753516255117404,0.00014716031956695422,0.01575493472787928,0.00013414603773750165,0.022809112691033983,0.0002048068313453805,0.07164817239903018,0.001336564249783956,3.819891324868756e-05,0.0,0.00039342684096522324,0.0,0.037995379224612144,0.044316437822737406,3.760845300497596e-06,0.0003107802618795476,0.00016016504913921002,3.0922120200770493e-06,0.00040578502021639933,0.003049643410639168,0.006967482157565478,0.10342215254836813,0.17075123951964366,0.0006224062763544835,0.00022791954075226703
total_variance,0.08456499059595059,0.040301132090686545,0.07029073428967643,0.0022418639444037477,0.12493125559008599,0.004790791607660957,0.17446716996836842,0.00023890420526409285,0.10786876034759099,0.0005754620188268506,0.1503014047363321,0.001356949238723745,0.11884479068326642,0.0026540007214297633,0.002543139743344836,0.0,0.0005778003182515182,0.00017407634373943064,0.0009002318976801822,0.006478977656132485,0.0006042124451932253,0.0034978271621044737,0.006015490909673391,0.002026730565508731,0.002494836700891249,3.9364434024403614e-05,0.007044090608731022,0.0006160105719101702,0.07857779351848382,0.0011048042756653706,0.003876402810399099
pseudo_volume,0.035320332157254365,0.04182166176662646,0.11247814148560878,0.14440110938391856,0.36853024035378373,0.0017952343894056932,0.007849445168639621,0.01211600361327941,0.02561004529927153,0.015970825907448874,0.04414902001757262,0.002288628578075428,0.007599768774246898,0.03325713973967333,0.002977244837148048,2.5508001296118026e-05,1.2973171893571196e-05,0.0015288979019720342,0.0003988522816142093,0.01264448180588505,2.55421061839728e-06,3.687603558322724e-05,0.019766519301274023,0.00020379525230748022,2.4841827604735968e-05,2.070139436752862e-06,5.468654054347313e-05,0.0005393560824906393,0.09828173319049806,0.0007768353610104236,0.009535177424018824
mean_rmsf,0.10092516525466519,0.3044072298216538,0.18548092445376535,6.402769788566686e-05,0.0004888764105824465,2.601612428196761e-05,0.0002286763515119781,5.5118664033843736e-05,0.0033878142617686,8.794345424559025e-05,0.007002625364202202,9.270664064367415e-07,0.01300231301846529,2.438621249034011e-06,3.3986875896410137e-06,0.0,0.00020137606859545914,0.015495597190715466,0.002398479213341108,0.06305767328145605,5.558197037716326e-06,5.641735103712718e-05,0.00017220536365158577,0.0003537584320320418,0.004897855931558651,0.003451129551986805,0.006704779970338446,0.06425972395819006,0.22371669061666447,4.124322768610932e-05,2.401639340194608e-05
max_rmsf,0.15401115899687615,0.20835571520538523,0.2602211354351181,0.00012935508089996145,0.001296171823512574,0.00014031172608276122,0.0009257339048283852,5.6635151938316484e-05,0.005105190826369263,0.00016909961448531439,0.021108554382229045,4.79543013546205e-05,0.004772482083013148,0.00015721418106346097,3.921720547089156e-05,0.0,0.00020514090254305885,0.02650706026268931,0.009728090441000821,0.05713952254480683,1.2644224773971698e-05,0.00015104051190359475,0.0003057721454408946,0.0006029504109181719,0.004278479801030073,0.003174388370385805,0.004588076511026298,0.01429069669084928,0.22228609417920087,0.00016519680749626673,2.8916277307441928e-05
local_stiffness,0.0292624031238554,0.027192070345415636,0.03779649605763118,0.07947833687147368,0.16651226705587713,0.14151366448779035,0.09083786715040316,0.0010498331928371714,0.05613523593478315,0.01979246915612044,0.13570991570946725,0.0010963882010498406,0.047055885751831616,0.0014337830138277962,0.010859073031577704,0.00013844978860083,3.6211276503567055e-05,0.00010502363396979567,0.002032962804190685,0.04684597937331771,0.005018434216379743,6.48474914917252e-05,0.0001534369263999549,0.00023620882834828505,0.0012124042593894507,7.805464657836804e-08,0.007525632779846398,0.00016969812384361437,0.0431018136541109,0.04523609165305554,0.002397038051963718
