path_type,seq_from,seq_to,category,n_from,n_to,W2_distance,delta_n,action_A,is_bio
HET_BLOCK_bio,HET_BLOCK_EL_2,HET_BLOCK_GE_2,HET_BLOCK,2.0,2.0,3.7905181030691386,0.0,3.8405181030691384,True
HET_BLOCK_bio,HET_BLOCK_GE_2,HET_BLOCK_KE_2,HET_BLOCK,2.0,2.0,3.9672065841760786,0.0,4.017206584176079,True
HET_BLOCK_bio,HET_BLOCK_KE_2,HET_BLOCK_KL_2,HET_BLOCK,2.0,2.0,1.5487160294398825,0.0,1.5987160294398826,True
HET_BLOCK_bio,HET_BLOCK_KL_2,HET_BLOCK_GE_4,HET_BLOCK,2.0,4.0,3.8202208307769503,2.0,3.8757138922202907,True
HET_BLOCK_bio,HET_BLOCK_GE_4,HET_BLOCK_KE_4,HET_BLOCK,4.0,4.0,2.660838494680326,0.0,2.710838494680326,True
HET_BLOCK_bio,HET_BLOCK_KE_4,HET_BLOCK_KL_4,HET_BLOCK,4.0,4.0,2.2930546722591965,0.0,2.3430546722591963,True
HET_BLOCK_bio,HET_BLOCK_KL_4,HET_BLOCK_EL_4,HET_BLOCK,4.0,4.0,3.8738164868483076,0.0,3.9238164868483074,True
HET_BLOCK_bio,HET_BLOCK_EL_4,HET_BLOCK_KE_6,HET_BLOCK,4.0,6.0,4.141120472368738,2.0,4.196613533812078,True
HET_BLOCK_bio,HET_BLOCK_KE_6,HET_BLOCK_KL_6,HET_BLOCK,6.0,6.0,0.852145617222132,0.0,0.902145617222132,True
HET_BLOCK_bio,HET_BLOCK_KL_6,HET_BLOCK_GE_6,HET_BLOCK,6.0,6.0,2.5932280938226597,0.0,2.6432280938226596,True
HET_BLOCK_bio,HET_BLOCK_GE_6,HET_BLOCK_EL_6,HET_BLOCK,6.0,6.0,1.444841443480426,0.0,1.494841443480426,True
HET_BLOCK_bio,HET_BLOCK_EL_6,HET_BLOCK_KL_8,HET_BLOCK,6.0,8.0,2.233244492213865,2.0,2.288737553657205,True
HET_BLOCK_bio,HET_BLOCK_KL_8,HET_BLOCK_EL_8,HET_BLOCK,8.0,8.0,1.3402629959203625,0.0,1.3902629959203625,True
