aa,n,kd,Rg_mean_A,Ree_mean_A
A,4,1.8,0.4902881681919098,1.186858892440796
A,5,1.8,0.6780640482902527,1.6701704263687134
A,6,1.8,0.7253275513648987,1.8325891494750977
A,7,1.8,0.5809479355812073,1.5032321214675903
A,8,1.8,0.6756910085678101,1.7851111888885498
A,9,1.8,0.6760254502296448,1.8118976354599
A,10,1.8,0.907140851020813,2.6005859375
A,11,1.8,1.111234426498413,3.308634042739868
A,12,1.8,0.904228150844574,2.598804473876953
A,13,1.8,0.9675388336181641,2.7379963397979736
A,14,1.8,0.9733437895774841,2.8509294986724854
A,15,1.8,0.9588221311569214,2.7617006301879883
A,16,1.8,0.9595272541046143,2.7710697650909424
A,17,1.8,0.9628974199295044,2.776217222213745
A,18,1.8,1.02761709690094,3.0498037338256836
A,19,1.8,1.154469609260559,3.5895657539367676
A,20,1.8,1.0950722694396973,3.354172468185425
A,21,1.8,1.0909894704818726,3.334869384765625
A,22,1.8,1.0911664962768555,3.348736047744751
A,23,1.8,1.1165473461151123,3.387075662612915
A,24,1.8,1.1551411151885986,3.559197187423706
A,25,1.8,1.2398847341537476,3.970571279525757
A,26,1.8,1.200197696685791,3.761352062225342
A,27,1.8,1.2508090734481812,3.9085114002227783
A,28,1.8,1.2816029787063599,4.0239033699035645
A,29,1.8,1.294742226600647,4.124612331390381
A,30,1.8,1.3336068391799927,4.311137676239014
A,31,1.8,1.376043677330017,4.473781585693359
A,32,1.8,1.3800849914550781,4.458258628845215
A,33,1.8,1.422488808631897,4.613142490386963
A,34,1.8,1.4723156690597534,4.75919246673584
A,35,1.8,1.5189627408981323,4.991069316864014
A,36,1.8,1.5472887754440308,5.068975448608398
A,37,1.8,1.5905396938323975,5.249154090881348
A,38,1.8,1.6421369314193726,5.483064651489258
A,39,1.8,1.664723515510559,5.523726463317871
A,40,1.8,1.698215126991272,5.662423610687256
A,41,1.8,1.742358922958374,5.7920427322387695
A,42,1.8,1.7817695140838623,5.925612449645996
A,43,1.8,1.8341729640960693,6.194884300231934
A,44,1.8,1.859155297279358,6.213432312011719
A,45,1.8,1.913606882095337,6.422783851623535
A,46,1.8,1.940581202507019,6.519597053527832
A,47,1.8,1.9771696329116821,6.601672649383545
A,48,1.8,2.018606662750244,6.776817321777344
A,49,1.8,2.0662777423858643,6.930154323577881
A,50,1.8,2.1215555667877197,7.17634391784668
V,4,4.2,0.559144914150238,1.3273859024047852
V,5,4.2,0.49403417110443115,1.2394211292266846
V,6,4.2,0.4753643274307251,1.184118628501892
V,7,4.2,0.5839625597000122,1.4565560817718506
V,8,4.2,0.6380017995834351,1.634578824043274
V,9,4.2,0.6457406282424927,1.6668682098388672
V,10,4.2,0.7433497309684753,2.015679121017456
V,11,4.2,0.979191780090332,2.7770557403564453
V,12,4.2,0.7869475483894348,2.1022610664367676
V,13,4.2,0.8126314282417297,2.2012500762939453
V,14,4.2,0.9292856454849243,2.663381338119507
V,15,4.2,0.9446128606796265,2.729377269744873
V,16,4.2,0.8671697974205017,2.4549920558929443
V,17,4.2,0.8925842046737671,2.59586238861084
V,18,4.2,0.9716838002204895,3.01283860206604
V,19,4.2,0.9170743227005005,2.705625534057617
V,20,4.2,0.9466989636421204,2.867659091949463
V,21,4.2,0.988901674747467,3.0041275024414062
V,22,4.2,0.9951949119567871,3.036444902420044
V,23,4.2,1.0421733856201172,3.1490883827209473
V,24,4.2,1.0597238540649414,3.1940059661865234
V,25,4.2,1.0987297296524048,3.4225332736968994
V,26,4.2,1.1303260326385498,3.5202581882476807
V,27,4.2,1.1670697927474976,3.653411626815796
V,28,4.2,1.1949607133865356,3.6959404945373535
V,29,4.2,1.2449626922607422,3.949368715286255
V,30,4.2,1.2644667625427246,3.94167423248291
V,31,4.2,1.3058058023452759,4.089443683624268
V,32,4.2,1.3302607536315918,4.156139850616455
V,33,4.2,1.3708332777023315,4.31008243560791
V,34,4.2,1.4198362827301025,4.4885663986206055
V,35,4.2,1.4477639198303223,4.582901477813721
V,36,4.2,1.4810539484024048,4.672348499298096
V,37,4.2,1.5254409313201904,4.86069917678833
V,38,4.2,1.5365570783615112,4.786893367767334
V,39,4.2,1.5675749778747559,4.863330364227295
V,40,4.2,1.6228171586990356,5.13850212097168
V,41,4.2,1.6426513195037842,5.211244106292725
V,42,4.2,1.7007248401641846,5.41950798034668
V,43,4.2,1.6996135711669922,5.305648326873779
V,44,4.2,1.7290024757385254,5.4002685546875
V,45,4.2,1.7857799530029297,5.590864181518555
V,46,4.2,1.8259718418121338,5.742497444152832
V,47,4.2,1.84894597530365,5.885071277618408
V,48,4.2,1.8688380718231201,5.869983196258545
