seq_id,aa,n,n_frames,tau1_rg_ps,tau1_rg_r2,tau1_rg_nfit,tau1_rg_int_ps,tau1_rg_flag,tau1_e2e_ps,tau1_e2e_r2,tau1_e2e_nfit,tau1_e2e_flag,rg_mean_A,rg_std_A
PolyX_linker_PolyEAAAK_10,LNK,10,1000,121.91151443905594,0.3553402471844679,106,0.0018610300306676208,ok,21.450412887641818,0.8976267389084562,10,ok,5.7030989936790375,0.6148122150998094
PolyX_linker_PolyEAAAK_15,LNK,15,1000,65.56126129650676,0.8890912502535453,30,0.018161474760439944,ok,25.936853134260772,0.8941005757759053,13,ok,7.358496280556807,0.651255743422223
PolyX_linker_PolyEAAAK_20,LNK,20,1000,483.98909586591805,0.9442242583557788,141,0.0017274190084890506,ok,505.86102674757547,0.9692042986195251,163,ok,7.715459677053366,1.9257174063708808
PolyX_linker_PolyEAAAK_25,LNK,25,1000,365.45908905066017,0.9493659641954477,103,0.00479663784682316,ok,202.48237840581842,0.9514751811486047,81,ok,9.765119096526286,2.5386492770779787
PolyX_linker_PolyEAAAK_30,LNK,30,1000,462.48923455759467,0.8952381667857723,271,-0.005667650198859064,ok,587.6173663227787,0.9364015042213754,331,ok,11.734278572167995,1.9459812968088943
PolyX_linker_PolyEAAAK_35,LNK,35,1000,579.5881489066973,0.9899645118691796,221,0.00560187938845047,ok,655.8184484809333,0.9472056654861947,265,ok,14.30223021895828,3.482355196091636
PolyX_linker_PolyEAAAK_40,LNK,40,1000,301.2154998734759,0.47113866497388657,244,-1.0355539302508987e-05,ok,244.42725010498606,0.7477394481910573,176,ok,13.331460781018377,1.5896194698755666
PolyX_linker_PolyEAAAK_45,LNK,45,1000,105.5197989102614,0.6152897235899695,122,-0.003451987638669607,ok,133.2414457343986,0.8798480338472665,98,ok,17.147429425432254,1.6921141592281326
PolyX_linker_PolyEAAAK_5,LNK,5,1000,38.85082377028847,0.7586658429801659,33,-0.00028424624986378433,ok,29.94304439164661,0.6792833653668044,23,ok,4.425269064403527,0.41586023522270554
PolyX_linker_PolyEAAAK_50,LNK,50,1000,22.162712560870926,0.5158193357172076,28,0.003575488253595438,ok,26.35381131204002,-0.15136060550572705,47,ok,21.903886725047553,0.3473377206321457
PolyX_linker_PolyGGGGS_10,LNK,10,1000,56.37461184417365,0.6538604292776631,55,-0.0003215407396481851,ok,32.56620180424565,0.7760291078188906,23,ok,5.428615475895666,0.7979135131664854
PolyX_linker_PolyGGGGS_15,LNK,15,1000,141.7507493835999,0.2240919989481145,141,0.004299598292440976,ok,44.3219702646877,0.5402121000760809,57,ok,6.378043029382793,0.9448477636348086
PolyX_linker_PolyGGGGS_20,LNK,20,1000,235.5429219053701,0.8485670308084807,103,-0.00018055280106210603,ok,50.43915149298959,0.7755334311231593,38,ok,6.509059332540541,0.5767934438650503
